title,company,location,category,job_type,application_link,description
"Notice of Senior Secretariat Assistant/ Upper Division Clerk Grade Limited Departmental Competitive Examination, 2025",Staff Selection Commission,All India,SSC Jobs,Permanent,https://ssc.gov.in/api/attachment/uploads/masterData/NoticeBoards/departmental_05062026.pdf,"Notice of Senior Secretariat Assistant/ Upper Division Clerk Grade Limited Departmental Competitive Examination, 2025 has been announced by the Staff Selection Commission (SSC). This official notice was published on 05 June 2026. Eligible candidates can check the full details — including eligibility, important dates, vacancy information, and the step-by-step application process — from the official SSC notice. Bharat Vacancy tracks the latest Government of India job notifications so candidates never miss an opportunity. Always verify final details on the official SSC website before applying."
"Notice of Junior Secretariat Assistant/ Lower Division Clerk Grade Limited Departmental Competitive Examination, 2025",Staff Selection Commission,All India,SSC Jobs,Permanent,https://ssc.gov.in/api/attachment/uploads/masterData/NoticeBoards/departmental_notice_05062026.pdf,"Notice of Junior Secretariat Assistant/ Lower Division Clerk Grade Limited Departmental Competitive Examination, 2025 has been announced by the Staff Selection Commission (SSC). This official notice was published on 05 June 2026. Eligible candidates can check the full details — including eligibility, important dates, vacancy information, and the step-by-step application process — from the official SSC notice. Bharat Vacancy tracks the latest Government of India job notifications so candidates never miss an opportunity. Always verify final details on the official SSC website before applying."
"Tentative Vacancies for Stenographer Grade 'C' and 'D' Examination, 2026 (As on 04.06.2026)",Staff Selection Commission,All India,SSC Jobs,Permanent,https://ssc.gov.in/api/attachment/uploads/masterData/NoticeBoards/tentative_vacancy_04062026.pdf,"Tentative Vacancies for Stenographer Grade 'C' and 'D' Examination, 2026 (As on 04.06.2026) has been announced by the Staff Selection Commission (SSC). This official notice was published on 04 June 2026. Eligible candidates can check the full details — including eligibility, important dates, vacancy information, and the step-by-step application process — from the official SSC notice. Bharat Vacancy tracks the latest Government of India job notifications so candidates never miss an opportunity. Always verify final details on the official SSC website before applying."
